Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
14,0.7459,1,36,19,0.3759,0.98,-0.07,0.94,-0.33,0.0023,0.44,1,72.2,69.5,0.45,0.43,0.7469,143020,13021982,70,0
480,1.6205,1,36,25,0.3956,0.84,-0.88,0.73,-0.76,0.0021,0.48,1,77.8,72.6,0.39,0.4,1.6006,150609,17751888,10,0
528,0.6044,1,36,18,0.3767,1.06,0.41,1,0.1,0.0023,0.42,1,69.4,69.7,0.46,0.45,0.6083,147174,20396112,82,0
301,1.1721,1,36,22,0.3797,1.14,0.85,1.05,0.24,0.0022,0.36,1,61.1,69,0.42,0.46,1.164,148214,15557189,50,0
307,1.0289,1,36,21,0.3772,0.81,-1.31,0.65,-1.34,0.0022,0.64,1,69.4,69,0.43,0.4,1.024,152105,15579441,50,0
191,-5.0353,-1,36,0,1.8542,1,0,1,0,0,0,1,100,100,0,0,-5.0353,146633,14717654,80,82
536,1.0289,1,36,21,0.3772,1.14,1.09,1.36,1.36,0.0022,0.26,1,61.1,69,0.43,0.47,1.024,148758,20457618,10,0
526,1.4667,1,36,24,0.3887,0.97,-0.04,0.81,-0.33,0.0022,0.43,1,63.9,71.1,0.4,0.4,1.4512,145382,19759096,82,0
248,1.6205,1,36,25,0.3956,0.9,-0.72,0.76,-0.63,0.0021,0.47,1,77.8,72.6,0.39,0.4,1.6006,152071,15390039,10,82
277,-1.766,1,36,5,0.5055,0.72,-1.35,0.44,-1.3,0.0014,0.63,1,94.4,86.1,0.44,0.26,-1.4354,146305,15471330,82,0
110,0.1704,1,36,15,0.3858,1.06,0.51,1.17,0.59,0.0022,0.36,1,66.7,72.2,0.48,0.46,0.1827,149877,13914316,80,80
507,2.1278,1,36,28,0.4304,0.8,-1.29,0.57,-1.34,0.002,0.65,1,83.3,78.5,0.34,0.37,2.0897,143391,18448143,80,50
370,2.1278,1,36,28,0.4304,1.01,0.14,0.78,-0.32,0.002,0.37,1,80.6,78.5,0.34,0.34,2.0897,149322,16412257,82,0
179,3.0528,1,36,32,0.5527,1,0.1,0.97,0.08,0.0016,0.29,1,88.9,88.9,0.25,0.3,2.9522,151526,14701731,82,0
197,0.0196,1,36,14,0.3912,1.37,2.15,1.16,0.7,0.0022,0.14,1,52.8,73.3,0.48,0.51,0.0349,147476,14749564,82,0
223,0.1704,1,36,15,0.3858,1.19,1.23,1.36,1.31,0.0022,0.3,1,61.1,72.2,0.48,0.48,0.1827,151513,14818035,82,0
122,-5.0353,-1,36,0,1.8542,1,0,1,0,0,0,1,100,100,0,0,-5.0353,142961,13963864,70,0
164,0.7459,1,36,19,0.3758,1.09,0.55,1.28,1.09,0.0023,0.38,1,69.4,69.5,0.45,0.46,0.7469,151202,14634848,82,0
303,1.7805,1,36,26,0.4045,0.91,-0.36,0.81,-0.49,0.0021,0.4,1,77.8,74.3,0.37,0.38,1.7557,152003,15578550,10,50
