Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
161,0.5137,1,36,19,0.356,0.97,-0.18,0.97,-0.17,5e-4,0.38,1,66.7,64.4,0.35,0.46,0.5121,147564,10129634,10,0
344,1.965,1,36,29,0.4364,1.03,0.26,1.03,0.23,5e-4,0.28,1,80.6,80.5,0.25,0.39,1.915,151249,10926496,80,90
321,0.8991,1,36,22,0.3625,0.99,-0.09,1.01,0.17,5e-4,0.34,1,66.7,66,0.33,0.45,0.8885,146976,10616063,10,0
167,1.965,1,36,29,0.4364,1,0.1,0.87,-0.46,5e-4,0.29,1,80.6,80.5,0.25,0.39,1.915,151229,10139443,10,0
101,-4.7243,-1,36,0,1.8388,1,0,1,0,-7e-4,0,1,100,100,0,0,-4.7243,147676,8887381,80,10
131,-0.1298,1,36,14,0.3658,1.01,0.13,0.93,-0.03,4e-4,0.34,1,61.1,68.3,0.35,0.46,-0.1171,149018,9811494,82,80
141,0.387,1,36,18,0.356,0.99,-0.06,1,0.03,5e-4,0.38,1,69.4,64.6,0.35,0.46,0.3882,145657,10032967,10,50
357,1.3106,1,36,25,0.3804,0.85,-0.81,0.77,-0.87,5e-4,0.45,1,75,70.3,0.3,0.4,1.2883,151238,11084650,10,0
14,0.5137,1,36,19,0.356,0.96,-0.39,0.97,-0.19,5e-4,0.38,1,63.9,64.4,0.35,0.46,0.5121,148949,7596405,40,50
367,0.8991,1,36,22,0.3625,1.06,0.5,0.99,0.07,5e-4,0.27,1,61.1,66,0.33,0.48,0.8885,144114,11035625,82,0
222,1.6156,1,36,27,0.402,0.95,-0.26,0.83,-0.46,5e-4,0.4,1,75,75,0.28,0.39,1.5822,143281,10216766,80,50
340,0.8991,1,36,22,0.3625,1,0.01,1,0.07,5e-4,0.28,1,66.7,66,0.33,0.46,0.8885,151220,10801367,80,50
209,-4.7243,-1,36,0,1.8388,1,0,1,0,-7e-4,0,1,100,100,0,0,-4.7243,144366,10202064,82,0
171,-0.2654,1,36,13,0.371,1.35,1.4,1.46,1.31,4e-4,-0.08,1,69.4,69.6,0.35,0.48,-0.2494,149022,10143025,0,0
3,-1.2267,1,36,7,0.4439,0.92,-0.07,0.71,-0.57,2e-4,0.42,1,83.3,80.6,0.31,0.35,-1.1769,148850,5626579,10,0
171,1.0321,1,36,23,0.367,0.94,-0.43,0.95,-0.33,5e-4,0.4,1,61.1,67.1,0.32,0.42,1.018,145657,10142622,82,0
