Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
25,0.5754,1,36,14,0.3685,0.97,-0.12,0.83,-0.24,1e-4,0.41,1,69.4,68.7,0.37,0.43,0.5879,146990,10378073,82,0
489,2.9097,1,36,30,0.4647,1.06,0.32,1.06,0.37,3e-4,0.23,1,83.3,83.3,0.26,0.38,2.8481,152298,15760618,80,50
23,0.9714,1,36,17,0.3598,1.04,0.41,0.99,0,2e-4,0.34,1,61.1,65.9,0.37,0.47,0.9751,150866,10366954,10,0
303,1.6215,1,36,22,0.3657,0.83,-1.17,0.87,-1.17,3e-4,0.58,1,66.7,67,0.35,0.44,1.6108,147011,13609637,10,50
341,4.9355,1,36,35,1.022,0.99,0.29,0.5,-0.01,0,0.21,1,97.2,97.2,0.11,0.16,4.4571,150607,13988018,10,0
312,1.896,1,36,24,0.3762,0.88,-0.76,0.73,-0.64,3e-4,0.46,1,83.3,69.4,0.34,0.41,1.8781,146383,13717812,10,0
107,2.1912,1,36,26,0.3934,0.8,-1.15,0.74,-1.24,3e-4,0.63,1,80.6,73.2,0.32,0.39,2.1641,144066,11329629,10,20
141,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,148362,11489588,74,82
274,1.2293,1,36,19,0.3589,0.92,-0.67,0.87,-0.68,2e-4,0.46,1,72.2,65.2,0.37,0.43,1.2275,151375,13088807,82,0
448,4.9355,1,36,35,1.022,1.04,0.36,1.16,0.41,0,0.08,1,97.2,97.2,0.11,0.17,4.4571,144778,15165388,10,50
107,2.7056,1,36,29,0.4397,0.95,-0.18,0.72,-0.42,3e-4,0.36,1,80.6,81.2,0.28,0.32,2.6561,146285,11324198,70,50
494,1.1004,1,36,18,0.3589,1.03,0.33,0.98,-0.14,2e-4,0.35,1,58.3,65.4,0.37,0.47,1.1014,147358,15755428,10,0
507,3.746,1,36,33,0.616,0.99,0.15,0.44,-0.2,2e-4,0.24,1,91.7,91.7,0.19,0.27,3.6009,149985,17469287,80,0
180,2.1912,1,36,26,0.3934,0.96,-0.15,0.91,-0.61,3e-4,0.37,1,75,73.2,0.32,0.42,2.1641,143257,12219460,82,0
497,-2.069,1,36,2,0.7453,0.75,-0.33,0.32,-0.91,0,0.54,1,94.4,94.4,0.2,0.22,-1.8439,151931,16307712,80,0
358,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,147798,14013819,80,0
325,0.5754,1,36,14,0.3685,1.08,0.66,1.12,0.64,1e-4,0.24,1,63.9,68.7,0.37,0.48,0.5879,150614,13837842,82,0
225,4.9355,1,36,35,1.022,1.15,0.45,3.82,2.7,0,-0.27,1,97.2,97.2,0.11,0.17,4.4571,150109,12488925,82,0
381,4.1973,1,36,34,0.7384,0.99,0.15,0.44,-0.2,2e-4,0.26,1,94.4,94.4,0.16,0.23,3.9689,144836,14453614,82,0
250,3.746,1,36,33,0.616,1.15,0.49,1.7,0.89,2e-4,-0.21,1,91.7,91.7,0.19,0.29,3.6009,144612,12999008,82,0
3,0.5754,1,36,14,0.3685,0.97,-0.22,0.98,-0.14,1e-4,0.4,1,69.4,68.7,0.37,0.44,0.5879,147743,10207856,10,0
521,0.5754,1,36,14,0.3685,0.94,-0.32,0.9,-0.64,1e-4,0.44,1,66.7,68.7,0.37,0.44,0.5879,151196,17925827,82,0
212,2.7056,1,36,29,0.4397,1.13,0.62,1.32,0.57,3e-4,0.01,1,80.6,80.6,0.28,0.39,2.6561,152336,12362824,90,50
224,0.4377,1,36,13,0.3738,0.92,-0.54,1.05,-0.15,1e-4,0.44,1,72.2,70,0.37,0.45,0.4535,147022,12448451,82,10
193,3.4117,1,36,32,0.5451,0.96,-0.04,0.8,-0.3,3e-4,0.34,1,88.9,88.9,0.22,0.29,3.3082,143474,12255246,80,0
9,4.9355,1,36,35,1.022,1.24,0.97,3.06,1.45,0,-0.29,1,97.2,97.2,0.11,0.17,4.4571,151168,10274375,20,0
458,2.5209,1,36,28,0.4205,0.94,-0.25,0.92,-0.41,3e-4,0.4,1,80.6,77.8,0.29,0.36,2.4806,151659,15196062,90,80
228,3.4117,1,36,32,0.5451,1.1,0.36,1.1,0.49,3e-4,0.08,1,88.9,88.9,0.22,0.32,3.3082,144266,12889180,80,50
111,0.9714,1,36,17,0.3598,1.1,0.81,1.1,0.51,2e-4,0.26,1,50,65.9,0.37,0.48,0.9751,147349,11347554,80,10
