Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
64,-0.35,1,19,6,0.57,1.42,1.07,0.95,-0.2,0,0.51,1,63.2,76.6,0.51,0.46,-0.3,147768,12130567,82,10
202,2.3,1,19,15,0.6,0.78,-0.95,0.53,-0.56,0,0.54,1,78.9,78.9,0.33,0.35,2.22,149756,13177419,10,50
149,-0.35,1,19,6,0.57,0.72,-1.15,0.57,-0.87,0,0.67,1,89.5,76.6,0.51,0.36,-0.3,152161,12983098,0,0
86,1.66,1,19,13,0.54,1.37,1.6,1.9,2.4,0,0.15,1,63.2,70.9,0.4,0.51,1.63,147395,12219835,80,0
483,-4.35,-1,19,0,1.88,1,0,1,0,0,0,1,100,100,0,0,-4.35,146398,17426650,82,0
246,1.37,1,19,12,0.53,1.36,1.97,2.17,2.16,0,0.13,1,52.6,70,0.43,0.53,1.35,150473,13935380,82,0
301,0.82,1,19,10,0.52,1.14,0.63,1.11,0.49,0,0.39,1,73.7,71.5,0.47,0.47,0.82,144804,14606461,82,0
305,0.55,1,19,9,0.53,1.52,2.48,1.64,1.85,0,0.07,1,52.6,72.5,0.49,0.57,0.56,150880,14670569,10,0
476,1.96,1,19,14,0.56,0.83,-0.77,0.58,-0.56,0,0.52,1,73.7,74,0.36,0.37,1.91,145963,17688248,50,0
336,5.25,0,19,19,1.85,1,0,1,0,0,0,1,100,100,0,0,5.25,151544,14735180,0,0
491,-4.35,-1,19,0,1.88,1.17,0.69,1.06,0.5,0,0,1,100,100,0,0,-4.35,149963,17957001,82,0
226,3.2,1,19,17,0.77,1.02,0.2,0.96,0.17,0,0.29,1,89.5,89.5,0.23,0.3,2.99,147913,13725912,50,0
344,2.69,1,19,16,0.66,0.98,0.14,0.64,0.08,0,0.3,1,84.2,84.2,0.28,0.34,2.57,151544,14814110,10,50
17,-0.03,1,19,7,0.55,0.75,-0.91,0.65,-0.78,0,0.65,1,73.7,74.1,0.51,0.39,0,143356,11323531,74,40
79,2.3,1,19,15,0.6,1.21,0.81,1.21,0.6,0,0.23,1,68.4,78.9,0.33,0.46,2.22,152027,12149462,10,10
174,1.96,1,19,14,0.56,1.09,0.45,1.07,0.31,0,0.31,1,78.9,74,0.36,0.4,1.91,149259,13086502,82,0
96,-3.01,1,19,1,1.09,1.27,0.55,0.75,0.23,0,0.13,1,94.7,94.7,0.3,0.23,-2.59,148088,12307866,82,50
354,1.37,1,19,12,0.53,0.99,-0.01,1.31,0.98,0,0.39,1,73.7,70,0.43,0.43,1.35,149848,14837706,10,0
463,2.69,1,19,16,0.66,1.01,0.15,0.69,0.03,0,0.33,1,84.2,84.2,0.28,0.34,2.57,143892,16131878,90,0
43,-0.35,1,19,6,0.57,0.97,-0.03,0.86,-0.28,0,0.51,1,78.9,76.6,0.51,0.38,-0.3,148234,11493704,80,20
495,1.09,1,19,11,0.52,0.64,-1.88,0.49,-1.17,0,0.68,1,100,70.5,0.45,0.31,1.09,150064,17957001,10,50
