Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
7,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,143560,11282126,10,0
380,2.2946,1,36,27,0.4159,0.91,-0.38,0.69,-0.61,0.0022,0.48,1,75,77,0.37,0.36,2.2615,152018,15438031,82,0
377,2.8834,1,36,30,0.4766,1.06,0.37,0.89,-0.12,0.0023,0.3,1,83.3,84.1,0.32,0.36,2.8223,150396,15443051,80,0
28,2.6685,1,36,29,0.4511,0.74,-1.16,0.6,-1.22,0.0023,0.58,1,83.3,81.6,0.34,0.35,2.6192,146282,11417544,10,70
201,3.4111,1,36,32,0.558,1.09,0.34,0.59,-0.07,0.0025,0.27,1,91.7,89,0.28,0.29,3.3094,152109,13165224,82,0
403,2.1268,1,36,26,0.4036,1.1,0.52,1.29,0.7,0.0021,0.28,1,69.4,74.7,0.38,0.46,2.0996,144812,15614425,10,0
247,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,146789,13938983,82,0
73,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,146472,12104868,70,40
91,0.4287,1,36,14,0.3772,1.59,3.08,2.33,3.08,0.0015,-0.23,1,44.4,70.8,0.42,0.56,0.4407,147663,12262854,82,0
431,2.474,1,36,28,0.4314,0.88,-0.4,0.56,-0.8,0.0022,0.48,1,80.6,79.3,0.35,0.37,2.4337,146725,15788547,74,0
514,1.968,1,36,25,0.3937,0.8,-1.06,0.57,-1.03,0.002,0.56,1,72.2,72.6,0.39,0.39,1.9457,145213,19607822,10,0
421,2.6685,1,36,29,0.4511,1.14,0.43,1.08,0.38,0.0023,0.25,1,75,81.6,0.34,0.4,2.6192,147656,15788547,82,0
461,2.474,1,36,28,0.4314,0.88,-0.43,0.69,-0.72,0.0022,0.48,1,80.6,79.3,0.35,0.36,2.4337,144471,16232925,90,50
249,-0.5319,1,36,8,0.4348,0.85,-0.57,0.76,-0.48,0.0013,0.48,1,88.9,79,0.37,0.34,-0.4922,151005,13923161,10,0
258,0.5694,1,36,15,0.3733,0.89,-0.77,0.94,-0.04,0.0016,0.49,1,77.8,69.8,0.42,0.42,0.5784,147922,13945467,0,0
82,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,142982,12164402,70,80
517,0.7076,1,36,16,0.3705,1.06,0.36,2.09,3.13,0.0016,0.32,1,69.4,69,0.42,0.47,0.7138,150600,20174519,82,0
470,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,151979,16298012,60,0
363,2.8834,1,36,30,0.4766,1.03,0.24,0.75,-0.24,0.0023,0.3,1,83.3,84.1,0.32,0.34,2.8223,145508,15251969,10,0
85,1.115,1,36,19,0.3679,0.89,-0.59,0.81,-0.78,0.0018,0.5,1,77.8,67.5,0.42,0.42,1.1131,145735,12204757,82,10
398,1.2508,1,36,20,0.3693,1,0.01,0.91,-0.4,0.0018,0.42,1,63.9,68,0.42,0.45,1.2461,152067,15543749,60,0
291,1.115,1,36,19,0.3679,0.95,-0.23,0.85,-0.53,0.0018,0.45,1,63.9,67.5,0.42,0.43,1.1131,147925,14446642,10,0
188,2.6685,1,36,29,0.4511,1,0.02,1.23,0.79,0.0023,0.31,1,77.8,81.6,0.34,0.38,2.6192,150396,13124676,70,50
45,-4.3026,-1,36,0,1.8445,1,0,1,0,0,0,1,100,100,0,0,-4.3026,145954,11493704,10,0
