Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
374,-0.56,1,18,5,0.63,0.55,-1.18,0.32,-1.46,0,0.82,1,94.4,81.9,0.55,0.25,-0.49,143031,16424190,70,0
349,0.76,1,18,9,0.54,0.98,0.03,0.85,-0.15,0,0.47,1,66.7,70.5,0.47,0.43,0.77,146299,16240642,10,50
218,1.33,1,18,11,0.54,0.85,-0.61,0.77,-0.38,0,0.53,1,77.8,68,0.42,0.42,1.32,150403,14809060,10,50
4,2.27,1,18,14,0.6,0.97,-0.06,0.63,-0.02,0,0.34,1,77.8,77.7,0.31,0.36,2.19,145588,11280735,10,80
345,3.17,1,18,16,0.77,1.04,0.24,0.92,0.23,0,0.22,1,88.9,88.9,0.22,0.3,2.97,152501,16248961,60,0
149,-0.56,1,18,5,0.63,0.74,-0.43,0.65,-0.59,0,0.7,1,88.9,81.9,0.55,0.33,-0.49,152519,14242060,50,0
94,0.46,1,18,8,0.55,1.65,2.48,1.28,0.61,0,0.25,1,33.3,72.6,0.5,0.56,0.49,150505,13892495,82,0
249,0.46,1,18,8,0.55,0.74,-1.32,0.67,-0.84,0,0.69,1,77.8,72.6,0.5,0.37,0.49,147800,15398854,50,0
365,1.62,1,18,12,0.55,0.87,-0.51,0.7,-0.25,0,0.45,1,66.7,69.9,0.38,0.41,1.59,145594,16349903,50,0
246,0.46,1,18,8,0.55,1.48,1.62,1.66,1.58,0,0.17,1,55.6,72.6,0.5,0.51,0.49,143887,15179192,82,0
312,1.62,1,18,12,0.55,1.18,0.95,1.96,1.92,0,0.25,1,66.7,69.9,0.38,0.47,1.59,145226,15580768,10,50
291,-4.46,-1,18,0,1.89,1,0,1,0,0,0,1,100,100,0,0,-4.46,143440,15489876,50,0
112,2.27,1,18,14,0.6,1,0.05,0.72,0,0,0.3,1,77.8,77.7,0.31,0.38,2.19,148214,13942158,0,10
349,-4.46,-1,18,0,1.89,1.04,0.3,1,0,0,0,1,100,100,0,0,-4.46,142965,16255453,80,50
125,-2.14,1,18,2,0.86,0.87,0.13,0.43,-0.22,0,0.65,1,83.3,89.7,0.47,0.28,-1.97,144343,13960490,70,80
22,-4.46,-1,18,0,1.89,1,0,1,0,0,0,1,100,100,0,0,-4.46,147808,13103822,82,0
451,1.33,1,18,11,0.54,0.81,-1,0.67,-0.54,0,0.55,1,77.8,68,0.42,0.39,1.32,149330,17521904,0,0
43,-0.98,1,18,4,0.68,1.48,1.32,2.15,2.01,0,0.1,1,77.8,84.8,0.54,0.42,-0.9,143302,13166131,10,70
434,0.46,1,18,8,0.55,1.11,0.44,0.94,0.13,0,0.47,1,61.1,72.6,0.5,0.45,0.49,148648,17211018,10,0
151,-0.98,1,18,4,0.68,0.92,-0.07,0.92,-0.08,0,0.56,1,83.3,84.8,0.54,0.35,-0.9,150147,14540401,82,0
318,1.33,1,18,11,0.54,1.04,0.3,0.89,-0.06,0,0.39,1,66.7,68,0.42,0.45,1.32,143231,15615081,82,10
483,2.66,1,18,15,0.66,0.85,-0.3,0.59,-0.15,0,0.4,1,83.3,83.3,0.27,0.32,2.55,152059,17738385,82,0
216,0.46,1,18,8,0.55,0.96,-0.21,0.89,-0.11,0,0.52,1,77.8,72.6,0.5,0.42,0.49,145224,14809060,82,0
526,1.62,1,18,12,0.55,1.14,0.81,1.29,0.83,0,0.28,1,66.7,69.9,0.38,0.47,1.59,149966,19388276,80,50
346,0.76,1,18,9,0.54,0.62,-1.83,0.53,-1.31,0,0.79,1,88.9,70.5,0.47,0.31,0.77,146694,16240642,82,0
362,2.27,1,18,14,0.6,0.93,-0.19,0.67,-0.03,0,0.37,1,77.8,77.7,0.31,0.38,2.19,149340,16369289,0,0
182,0.46,1,18,8,0.55,0.88,-0.52,0.76,-0.52,0,0.58,1,77.8,72.6,0.5,0.39,0.49,146431,14672561,82,0
161,1.62,1,18,12,0.55,0.96,-0.15,0.84,-0.09,0,0.44,1,77.8,69.9,0.38,0.43,1.59,146223,14608189,82,0
108,-4.46,-1,18,0,1.89,1,0,1,0,0,0,1,100,100,0,0,-4.46,147064,13919393,40,40
48,1.04,1,18,10,0.53,1.01,0.09,0.83,-0.09,0,0.45,1,66.7,68.7,0.45,0.45,1.04,143021,13237233,80,0
282,3.96,1,18,17,1.04,1,0.26,0.68,0.17,0,0.25,1,94.4,94.4,0.16,0.22,3.51,144824,15509400,10,50
152,-1.5,1,18,3,0.75,0.37,-1.64,0.19,-1.23,0,0.87,1,100,86.6,0.52,0.19,-1.38,145926,14596075,90,0
515,-0.18,1,18,6,0.59,0.9,-0.15,1.04,0.24,0,0.64,1,77.8,78.1,0.54,0.39,-0.13,144389,19759096,82,0
203,1.33,1,18,11,0.54,1.36,1.82,1.82,1.64,0,0.08,1,38.9,68,0.42,0.54,1.32,151990,14778904,70,50
176,3.17,1,18,16,0.77,0.87,-0.06,0.38,-0.06,0,0.35,1,88.9,88.9,0.22,0.25,2.97,144982,14660660,10,50
387,2.27,1,18,14,0.6,0.9,-0.25,0.7,-0.19,0,0.43,1,77.8,77.7,0.31,0.37,2.19,147497,16449304,50,80
359,2.27,1,18,14,0.6,1.13,0.48,0.98,0.11,0,0.32,1,72.2,77.7,0.31,0.45,2.19,150738,16356462,80,50
255,0.15,1,18,7,0.57,0.93,-0.08,0.92,-0.11,0,0.55,1,77.8,75,0.52,0.42,0.19,147500,15400751,80,50
