Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
311,0.73,1,13,8,0.62,1.14,0.45,1.06,0.32,0,0.43,1,61.5,69.2,0.4,0.45,0.68,145998,14788411,10,0
323,3.13,1,13,12,1.11,0.52,-0.44,0.17,-0.5,0,0.73,1,92.3,92.3,0.32,0.18,2.71,151987,15051366,10,0
2,3.13,1,13,12,1.11,0.52,-0.44,0.17,-0.5,0,0.73,1,92.3,92.3,0.32,0.18,2.71,148476,11430303,50,0
223,3.13,1,13,12,1.11,1.3,0.63,1.04,0.41,0,0.11,1,92.3,92.3,0.32,0.28,2.71,151037,14003635,10,0
190,-0.77,1,13,4,0.64,1.4,1.83,1.25,0.64,0,0.02,1,53.8,71.3,0.33,0.55,-0.71,150442,13902172,82,0
494,4.51,0,13,13,1.89,1,0,1,0,0,0,1,100,100,0,0,4.51,149371,16859545,82,0
117,-2.59,1,13,1,1.06,1.21,0.52,3.6,1.6,0,-0.3,1,92.3,92.3,0.18,0.28,-2.15,143677,13132636,10,50
91,0.73,1,13,8,0.62,0.84,-0.72,0.68,-0.78,0,0.59,1,69.2,69.2,0.4,0.37,0.68,145550,13014757,10,0
76,3.13,1,13,12,1.11,0.52,-0.44,0.17,-0.5,0,0.73,1,92.3,92.3,0.32,0.18,2.71,149141,12958018,82,0
489,4.51,0,13,13,1.89,1,0,1,0,0,0,1,100,100,0,0,4.51,143334,16852648,10,0
483,2.21,1,13,11,0.84,0.73,-0.35,0.54,-0.39,0,0.63,1,92.3,86.3,0.38,0.28,2.02,150669,16790871,10,0
422,3.13,1,13,12,1.11,0.52,-0.44,0.17,-0.5,0,0.73,1,92.3,92.3,0.32,0.18,2.71,143518,16311825,82,0
24,1.14,1,13,9,0.66,0.83,-0.46,0.68,-0.75,0,0.61,1,69.2,74.5,0.41,0.37,1.06,151205,12271683,10,0
267,2.21,1,13,11,0.84,1.36,0.79,1.34,0.72,0,0.32,1,76.9,86.3,0.38,0.45,2.02,149820,14591367,82,0
473,3.13,1,13,12,1.11,0.52,-0.44,0.17,-0.5,0,0.73,1,92.3,92.3,0.32,0.18,2.71,146673,16739590,10,0
335,3.13,1,13,12,1.11,1.39,0.68,4.05,1.6,0,-0.63,1,92.3,92.3,0.32,0.3,2.71,145694,15402606,10,0
242,2.21,1,13,11,0.84,1.26,0.57,1.04,0.29,0,0.3,1,92.3,86.3,0.38,0.32,2.02,147574,14040336,90,20
365,1.61,1,13,10,0.72,0.66,-0.77,0.5,-0.89,0,0.73,1,84.6,80.6,0.41,0.31,1.5,152114,15543773,10,50
382,0.35,1,13,7,0.61,0.81,-0.9,0.63,-0.83,0,0.6,1,84.6,66.7,0.39,0.36,0.33,152545,15905187,10,0
465,4.51,0,13,13,1.89,1,0,1,0,0,0,1,100,100,0,0,4.51,143833,16733509,82,0
245,0.35,1,13,7,0.61,1.3,1.17,1.22,0.63,0,0.14,1,53.8,66.7,0.39,0.51,0.33,150442,14027631,50,0
530,4.51,0,13,13,1.89,1,0,1,0,0,0,1,100,100,0,0,4.51,143631,18023924,10,0
305,-0.01,1,13,6,0.6,1.11,0.4,1.02,0.16,0,0.35,1,61.5,65.7,0.38,0.46,-0.01,147704,14787695,82,0
32,1.14,1,13,9,0.66,0.88,-0.36,0.68,-0.5,0,0.55,1,69.2,74.5,0.41,0.39,1.06,145414,12230995,80,0
344,4.51,0,13,13,1.89,1,0,1,0,0,0,1,100,100,0,0,4.51,151518,15440516,10,0
550,0.35,1,13,7,0.61,1.2,1.05,1.17,0.63,0,0.2,1,46.2,66.7,0.39,0.51,0.33,150616,19120354,10,0
581,0.73,1,13,8,0.62,0.91,-0.18,0.83,-0.33,0,0.49,1,84.6,69.2,0.4,0.4,0.68,148719,19902409,10,0
24,-0.77,1,13,4,0.64,0.71,-1.08,0.61,-0.73,0,0.65,1,84.6,71.3,0.33,0.36,-0.71,150639,12212873,10,0
